hour,minute,volatility,success,next_return,target,multiplier
1,45,38860.7595,0.4553,-0.0,2607,0.5
1,46,39942.4405,0.4048,0.0,2606,0.5
1,47,38938.8226,0.4078,-0.0,2599,0.5
1,48,37574.1737,0.382,-0.0,2602,0.5
1,49,36010.3607,0.3772,0.0,2606,0.5
1,50,37641.8997,0.4152,0.0,2611,0.5
1,51,37241.0885,0.4082,-0.0,2609,0.5
1,52,36306.4206,0.4091,-0.0,2601,0.5
1,53,35621.58,0.4239,0.0,2595,0.5
1,54,34845.092,0.4011,0.0,2608,0.5
1,55,36069.4818,0.4015,0.0,2605,0.5
1,56,35357.7487,0.4117,0.0,2594,0.5
1,57,34111.9661,0.3913,-0.0,2599,0.5
1,58,33869.4648,0.4209,0.0,2597,0.5
1,59,33609.363,0.4202,-0.0,2606,0.5
2,0,40504.6012,0.3646,0.0,2608,0.7
2,1,40027.4555,0.314,-0.0,2586,0.7
2,2,38937.7417,0.2962,-0.0001,2586,0.7
2,3,39065.9977,0.323,0.0,2591,0.7
2,4,37385.211,0.3213,-0.0,2583,0.7
2,5,38955.5126,0.3269,-0.0,2585,0.7
2,6,39264.6261,0.3216,-0.0,2581,0.7
2,7,37132.8155,0.3076,-0.0,2575,0.7
2,8,37130.0623,0.3388,-0.0,2568,0.7
2,9,37291.5531,0.311,-0.0,2569,0.7
2,10,37965.7588,0.3358,-0.0,2570,0.7
2,11,36679.0842,0.3314,0.0,2577,0.7
2,12,36499.0231,0.3283,-0.0,2559,0.7
2,13,35574.7082,0.321,0.0,2570,0.7
2,14,35426.3506,0.3335,0.0,2573,0.7
2,15,39067.6253,0.3692,-0.0,2573,0.7
2,16,38545.1011,0.3289,0.0,2572,0.7
2,17,37466.2005,0.3228,0.0,2574,0.7
2,18,36297.8641,0.3184,-0.0,2575,0.7
2,19,35457.6863,0.3179,-0.0,2576,0.7
2,20,37135.6921,0.3464,0.0,2572,0.7
2,21,35820.9828,0.3097,0.0,2564,0.7
2,22,35710.1562,0.3184,-0.0,2560,0.7
2,23,35411.1932,0.3218,0.0,2573,0.7
2,24,34007.776,0.3324,0.0,2572,0.7
2,25,35689.8833,0.3319,0.0,2570,0.7
2,26,35992.977,0.3277,-0.0,2563,0.7
2,27,34843.1677,0.3183,-0.0,2576,0.7
2,28,35380.0781,0.327,-0.0,2560,0.7
2,29,33949.3177,0.299,0.0,2565,0.7
2,30,38715.6711,0.3677,-0.0,2578,0.7
2,31,38977.0428,0.3105,-0.0,2570,0.7
2,32,37414.1021,0.3229,0.0,2567,0.7
2,33,36058.8235,0.3292,-0.0,2567,0.7
2,34,35307.393,0.3113,-0.0,2570,0.7
2,35,36152.74,0.3319,0.0,2573,0.7
2,36,37124.9512,0.326,-0.0,2561,0.7
2,37,36230.5296,0.3236,0.0,2568,0.7
2,38,35271.0608,0.328,-0.0,2564,0.7
2,39,34682.0673,0.3211,0.0,2554,0.7
2,40,36044.1406,0.3316,-0.0,2560,0.7
2,41,34686.5963,0.32,0.0,2559,0.7
2,42,34485.1446,0.3268,0.0,2558,0.7
2,43,33556.8581,0.3247,-0.0,2559,0.7
2,44,33060.8662,0.3219,0.0,2563,0.7
2,45,36744.4574,0.3423,-0.0,2571,0.7
2,46,36879.1894,0.3223,-0.0,2566,0.7
2,47,35588.7192,0.3008,-0.0,2553,0.7
2,48,34077.0736,0.3169,0.0,2556,0.7
2,49,34632.462,0.3129,-0.0,2563,0.7
2,50,35783.0997,0.3353,0.0,2568,0.7
2,51,35180.5393,0.3271,0.0,2559,0.7
2,52,35195.5329,0.3237,-0.0,2552,0.7
2,53,34224.2188,0.332,0.0,2560,0.7
2,54,33861.8267,0.3193,-0.0,2562,0.7
2,55,34800.0,0.3242,-0.0,2560,0.7
2,56,33535.5469,0.3125,-0.0,2560,0.7
2,57,33947.245,0.3298,-0.0,2559,0.7
2,58,33686.8647,0.3397,0.0,2558,0.7
2,59,33556.4674,0.329,0.0,2559,0.7
3,0,44254.2969,0.3855,0.0,2560,0.7
3,1,41050.3739,0.318,0.0,2541,0.7
3,2,40295.2493,0.3066,0.0,2547,0.7
3,3,37941.0145,0.3193,-0.0,2543,0.7
3,4,36690.1021,0.306,-0.0,2546,0.7
3,5,38869.9921,0.3507,-0.0,2546,0.7
3,6,37248.8208,0.3133,-0.0,2544,0.7
3,7,37590.694,0.3166,0.0,2536,0.7
3,8,37352.4299,0.3347,0.0,2531,0.7
3,9,36952.3997,0.3116,0.0,2542,0.7
3,10,37064.339,0.3268,0.0,2549,0.7
3,11,37142.1801,0.3337,0.0,2532,0.7
3,12,35542.7786,0.3085,0.0,2548,0.7
3,13,35125.8907,0.3254,0.0,2526,0.7
3,14,35014.5669,0.3406,0.0,2540,0.7
3,15,38395.9811,0.3491,0.0,2538,0.7
3,16,36083.8583,0.3244,-0.0001,2540,0.7
3,17,36624.9009,0.2998,0.0,2522,0.7
3,18,35594.9567,0.3148,0.0,2538,0.7
3,19,34258.3333,0.3218,0.0,2520,0.7
3,20,36761.811,0.339,-0.0,2540,0.7
3,21,35595.5766,0.2974,0.0,2532,0.7
3,22,34898.1371,0.3262,-0.0,2523,0.7
3,23,35071.3719,0.3128,0.0,2522,0.7
3,24,34010.2645,0.3095,0.0,2533,0.7
3,25,36268.2446,0.3258,0.0,2535,0.7
3,26,35833.4646,0.3244,0.0,2540,0.7
3,27,34088.457,0.3122,-0.0,2521,0.7
3,28,33639.163,0.3229,-0.0,2533,0.7
3,29,33035.9542,0.3244,0.0,2531,0.7
3,30,37186.7612,0.3507,0.0,2538,0.7
3,31,36366.5212,0.3154,-0.0,2521,0.7
3,32,35942.733,0.3258,0.0,2532,0.7
3,33,34903.5954,0.3094,0.0,2531,0.7
3,34,35200.3976,0.3217,-0.0,2515,0.7
3,35,36693.7648,0.3429,-0.0,2534,0.7
3,36,36327.2583,0.3225,0.0,2524,0.7
3,37,35605.2215,0.3145,0.0,2528,0.7
3,38,35383.1813,0.3201,-0.0,2521,0.7
3,39,34358.7515,0.3105,0.0,2531,0.7
3,40,35736.4892,0.3195,0.0,2535,0.7
3,41,36053.5289,0.3303,0.0,2522,0.7
3,42,34996.0254,0.3267,-0.0,2516,0.7
3,43,33907.7901,0.3335,0.0,2516,0.7
3,44,33765.6374,0.3167,0.0,2526,0.7
3,45,35980.6858,0.3366,0.0,2537,0.7
3,46,35955.6084,0.3163,-0.0,2523,0.7
3,47,35635.2524,0.3273,0.0,2536,0.7
3,48,34959.3949,0.3193,0.0,2512,0.7
3,49,34390.8046,0.3345,-0.0,2523,0.7
3,50,35561.9835,0.3148,0.0,2541,0.7
3,51,36100.8337,0.3243,-0.0,2519,0.7
3,52,35038.63,0.307,-0.0,2511,0.7
3,53,34943.7624,0.32,-0.0,2525,0.7
3,54,33877.3249,0.3209,0.0,2527,0.7
3,55,35074.2496,0.3373,0.0,2532,0.7
3,56,33708.2344,0.3254,-0.0,2526,0.7
3,57,32798.1724,0.3035,-0.0,2517,0.7
3,58,32301.7378,0.3262,0.0,2532,0.7
3,59,32263.4281,0.3274,0.0001,2532,0.7
4,0,39424.2068,0.3858,-0.0,2553,0.7
4,1,38647.8313,0.3088,-0.0,2513,0.7
4,2,36750.3949,0.316,0.0,2532,0.7
4,3,36406.6986,0.3206,0.0,2508,0.7
4,4,35237.6984,0.3147,0.0,2520,0.7
4,5,36972.2662,0.3288,-0.0,2524,0.7
4,6,35728.5771,0.3161,0.0,2509,0.7
4,7,36481.0983,0.3223,0.0,2513,0.7
4,8,35972.1227,0.317,-0.0,2511,0.7
4,9,34680.1909,0.3158,0.0,2514,0.7
4,10,38191.3458,0.3474,-0.0,2519,0.7
4,11,35729.2247,0.3225,0.0,2515,0.7
4,12,36180.4062,0.3266,-0.0,2511,0.7
4,13,34944.1141,0.3088,0.0,2523,0.7
4,14,34829.6267,0.3264,0.0,2518,0.7
4,15,37857.5386,0.3562,0.0,2527,0.7
4,16,36603.4141,0.3081,-0.0,2519,0.7
4,17,36524.7133,0.3163,-0.0,2529,0.7
4,18,35992.0698,0.2942,0.0,2522,0.7
4,19,35121.6323,0.3114,-0.0,2524,0.7
4,20,36630.7021,0.3308,0.0,2521,0.7
4,21,36261.8762,0.3222,0.0,2505,0.7
4,22,35507.7844,0.319,-0.0,2505,0.7
4,23,34545.5994,0.3178,0.0,2511,0.7
4,24,32919.1235,0.3139,0.0001,2510,0.7
4,25,34662.8368,0.3308,-0.0,2524,0.7
4,26,34035.0877,0.319,0.0,2508,0.7
4,27,34125.8993,0.3233,-0.0,2502,0.7
4,28,34310.3586,0.3187,0.0,2510,0.7
4,29,33937.2767,0.3231,0.0,2519,0.7
4,30,37238.4921,0.3488,-0.0,2520,0.7
4,31,36302.4178,0.2977,-0.0,2523,0.7
4,32,36701.9421,0.3175,0.0,2523,0.7
4,33,35840.9543,0.3089,0.0,2515,0.7
4,34,35522.2753,0.3202,-0.0,2514,0.7
4,35,36462.5743,0.3331,0.0,2525,0.7
4,36,36279.3008,0.3135,-0.0,2517,0.7
